pid,order,step,technique,task,size,trial,pAnswer,correctAnswer,startTime,endTime,completionTime,clicksLink,clicksNode,penDownTime
p3,C,S0,baseline,degree,n20,t2,3,3,-2129730584,-2129696962,33622,0,19,0
p3,C,S1,baseline,reach,n80,t3,25,28,-2128372453,-2128272024,100429,0,4,0
p3,C,S3,active,reach,n80,t0,25,25,-2125763222,-2125715428,47794,0,6,9838
p3,C,S2,active,degree,n80,t3,14,14,-2126596689,-2126399396,197293,1,35,24270
p3,C,S0,baseline,degree,n40,t2,6,7,-2129563892,-2129484303,79589,1,26,0
p3,C,S1,baseline,reach,n20,t0,7,8,-2128723633,-2128692238,31395,0,0,0
p3,C,S1,baseline,reach,n40,t0,13,16,-2128590995,-2128528271,62724,2,2,0
p3,C,S0,baseline,degree,n80,t2,11,16,-2129301463,-2129222298,79165,1,25,0
p3,C,S3,active,reach,n40,t1,13,13,-2125861665,-2125827198,34467,0,9,3370
p3,C,S2,active,degree,n20,t0,5,5,-2127637176,-2127569906,67270,0,17,8061
p4,D,S3,active,degree,n40,t3,8,8,-2047591087,-2047544788,46299,0,0,3606
p4,D,S2,active,reach,n80,t3,36,28,-2047875829,-2047811855,63974,0,0,10942
p4,D,S0,baseline,reach,n40,t2,16,15,-2050016816,-2049936181,80635,0,0,0
p4,D,S1,baseline,degree,n40,t2,5,7,-2049167124,-2049091352,75772,0,0,0
p4,D,S3,active,degree,n20,t2,3,3,-2047646784,-2047624880,21904,0,0,1256
p4,D,S0,baseline,reach,n80,t2,34,30,-2049721319,-2049657312,64007,0,0,0
p4,D,S2,active,reach,n20,t2,7,7,-2048566756,-2048517106,49650,0,0,6196
p4,D,S3,active,degree,n80,t3,14,14,-2047296598,-2047251385,45213,0,0,6134
p4,D,S2,active,reach,n40,t2,13,15,-2048196959,-2048144562,52397,0,0,7108
p4,D,S0,baseline,reach,n20,t1,11,11,-2050444439,-2050345279,99160,0,0,0
p4,D,S1,baseline,degree,n20,t1,1,4,-2049295960,-2049255076,40884,0,0,0
p4,D,S1,baseline,degree,n80,t2,12,16,-2048970185,-2048929286,40899,0,0,0
p4,D,S2,active,reach,n80,t0,18,25,-2047932387,-2047884717,47670,0,0,7814
p4,D,S0,baseline,reach,n40,t3,13,14,-2049931337,-2049869408,61929,0,0,0
p4,D,S3,active,degree,n40,t0,9,9,-2047518174,-2047480797,37377,0,0,3804
p4,D,S1,baseline,degree,n40,t3,8,8,-2049009398,-2048975499,33899,0,0,0
p4,D,S3,active,degree,n20,t1,5,4,-2047697516,-2047679091,18425,0,0,2030
p4,D,S0,baseline,reach,n80,t3,21,28,-2049570915,-2049529566,41349,0,0,0
p4,D,S2,active,reach,n20,t1,10,11,-2048612955,-2048577611,35344,0,0,4494
p4,D,S1,baseline,degree,n80,t3,14,14,-2048853645,-2048822371,31274,0,0,0
p4,D,S3,active,degree,n80,t0,12,19,-2047433402,-2047361737,71665,0,0,4830
p4,D,S2,active,reach,n40,t1,13,13,-2048409224,-2048348160,61064,0,0,7726
p4,D,S1,baseline,degree,n20,t0,1,5,-2049236891,-2049178680,58211,0,0,0
p4,D,S0,baseline,reach,n20,t0,8,8,-2050187646,-2050159937,27709,0,0,0
p4,D,S2,active,reach,n80,t1,23,21,-2048131602,-2048035483,96119,0,0,11225
p4,D,S3,active,degree,n40,t1,9,9,-2047542683,-2047520192,22491,0,0,3229
p4,D,S1,baseline,degree,n40,t0,7,9,-2049044984,-2049014449,30535,0,0,0
p4,D,S0,baseline,reach,n40,t0,14,16,-2050146175,-2050020340,125835,0,0,0
